Dim1,Dim2,label
2.1075447,-0.28188387,1
2.8395715,-2.4395523,1
3.4549131,11.38377,1
3.2515213,-20.959038,1
-6.259381,-18.302633,1
-17.168028,-22.165073,1
21.945137,17.573421,1
-18.404877,-14.658929,1
-7.3656564,17.47577,1
-22.768007,-11.059935,1
-4.9421377,21.315983,1
21.046413,-11.800232,1
0.79680264,3.1736786,1
-9.696993,21.175962,1
10.787319,-25.096266,1
-21.503687,11.840139,1
6.3233447,-18.750912,1
8.872622,5.4865093,1
-13.027559,-6.1704984,1
-9.259336,-20.82996,1
-0.18688244,5.4222045,1
-18.752066,-16.54715,1
11.4134245,-0.914632,1
1.3834503,16.457575,1
-4.850803,-23.626259,1
-13.992636,-4.9782333,1
10.784414,-18.400623,1
-3.4513693,10.5971775,1
-5.26934,-11.997454,1
-16.421757,-9.394083,1
-11.417695,9.753243,1
-18.122568,6.6875033,1
1.6441644,-12.522548,1
-21.205656,-2.795948,1
5.6123705,5.4875207,1
-6.4146004,5.5519743,1
-5.1350727,5.861343,1
22.343477,-11.068715,1
-2.8408406,-8.457687,1
6.5172973,9.261297,1
-13.095593,-2.5034037,1
-10.51678,-6.2869415,1
-6.352886,11.817052,1
-12.033832,-8.852535,1
-21.792223,-9.881329,1
-1.6918405,-21.85463,1
-12.130809,-13.058558,1
2.0024045,1.8643924,1
14.210812,16.45877,1
-2.9026563,-22.312147,1
-7.492768,8.9880705,1
15.039644,18.952253,1
2.2471466,-12.738339,1
-12.614313,-2.1052737,1
-12.804282,17.462393,1
-5.6203213,16.748737,1
5.4082966,-1.8690858,1
22.369856,-13.69669,1
-7.5400248,-4.5937037,1
2.504915,-24.943834,1
-4.0010276,1.4196033,1
-28.029833,-3.2875419,1
22.067173,-11.07102,1
14.07231,-20.321793,1
-2.0349205,-18.018862,1
0.1549665,5.21148,1
-4.4830017,20.63171,1
-17.345062,1.9591427,1
18.392902,-0.23903607,1
-7.969086,-18.695436,1
-7.670641,-14.888066,1
-12.488859,14.081543,1
-8.335636,17.47779,1
-8.972193,-13.719741,1
-21.207235,11.916646,1
-22.4812,-0.7380956,1
-12.506897,-7.7585864,1
-21.974274,12.719312,1
-0.85113204,9.72651,1
-6.616433,21.05264,1
0.08108938,8.819929,1
-4.2497306,-18.470718,1
10.355038,-19.253069,1
-10.268199,-14.397559,1
-3.3705463,3.40063,1
-18.259903,-12.520522,1
-19.67588,-17.96272,1
-11.450146,9.598881,1
10.4887705,-4.657073,1
15.728102,-8.546359,1
5.4383736,5.806366,1
14.638478,-14.377008,1
10.733258,16.06291,1
-7.4517875,14.262401,1
21.256199,18.50297,1
-15.794616,-18.218742,1
9.485077,6.634042,1
-5.8038034,-3.7202573,1
-3.978151,7.088029,1
5.8491764,19.014025,1
8.284458,10.906118,1
-2.0342128,4.5749025,1
-12.532989,9.579028,1
11.533801,-1.7891716,1
10.196165,15.953261,1
5.326761,3.3158145,1
13.2291355,14.552881,1
-10.712856,-4.785822,1
-0.5167846,-11.270141,1
4.419079,3.5267577,1
-5.971278,15.211583,1
-18.779472,-10.611099,1
