Dim1,Dim2,label
8.131374,4.0490184,1
7.6103425,4.9001756,1
7.36566,6.566681,1
8.440876,-1.2971866,1
16.94128,2.4652689,1
11.108525,1.85927,1
15.072272,8.890435,1
10.670559,0.9627564,1
8.705605,7.4601173,1
13.945279,5.0096817,1
13.4728365,3.3974593,1
2.6791558,-3.717104,1
8.280183,2.4629774,1
9.161172,8.454895,1
9.255053,-5.797415,1
12.908779,4.0613565,1
6.544047,-1.0954735,1
6.2662215,2.6113372,1
14.040417,3.942033,1
17.325409,2.085604,1
9.2082615,2.923093,1
11.420567,1.2689002,1
10.936032,2.8482876,1
7.533468,6.91881,1
17.690348,1.1087435,1
14.283823,3.3165104,1
7.166795,-1.8123002,1
7.9793663,5.5309944,1
17.406797,3.8001113,1
13.50058,4.090248,1
11.039857,8.782825,1
13.80366,5.8764343,1
6.597881,0.90800333,1
12.763175,4.3034005,1
15.357001,2.5294628,1
9.508625,4.6828256,1
11.0049095,3.4306605,1
3.1740391,-3.8501656,1
13.047503,4.512291,1
7.8017325,4.066762,1
14.228268,3.056204,1
14.177216,3.176439,1
10.318799,8.403149,1
10.741457,-0.1684827,1
10.272559,5.775548,1
17.461994,0.72271,1
10.502665,0.48799694,1
8.003575,4.229426,1
4.8885655,4.2633214,1
17.791357,1.9365687,1
10.667716,7.354244,1
4.7226925,4.527505,1
6.5069923,0.8140914,1
14.648666,2.6601691,1
9.224712,8.092053,1
10.777175,9.242025,1
7.121985,2.0213032,1
2.792018,-3.882109,1
14.594907,2.877094,1
11.304274,-2.7207224,1
8.536196,6.058745,1
9.959265,5.1606956,1
3.141179,-3.8097851,1
7.6600046,-3.1994174,1
17.357262,1.9800025,1
7.7316008,6.416997,1
13.507241,3.3821113,1
10.584973,5.592699,1
10.843165,-4.370127,1
16.843208,0.7811229,1
16.736353,2.2633593,1
10.195267,8.015229,1
8.793856,7.7041793,1
9.281363,0.2603966,1
12.566718,4.08447,1
9.996686,5.626878,1
15.751252,3.182706,1
14.22671,4.8484244,1
8.573588,4.903614,1
11.088973,9.250814,1
9.241853,7.8086143,1
16.752874,0.74785155,1
7.4711146,-2.1642144,1
16.303722,2.9825184,1
9.017643,5.0772233,1
11.064124,0.58206815,1
11.427057,1.2097597,1
11.028531,8.680081,1
8.729125,-0.079267025,1
8.215123,-1.7968174,1
6.615261,2.9320636,1
6.7065325,-4.535459,1
17.58394,4.1789184,1
10.806028,9.297009,1
14.654231,8.758272,1
14.529503,3.6266305,1
15.513811,3.0557659,1
8.682541,3.1363945,1
9.68565,6.5638604,1
17.288445,3.63184,1
17.035324,4.3256836,1
8.677584,5.0411773,1
10.956119,8.453653,1
7.9342985,0.48209888,1
17.479599,4.250818,1
15.224154,3.3819342,1
17.60948,4.501417,1
14.314175,3.0233624,1
5.897792,3.3197381,1
15.285953,2.9235902,1
8.960801,7.228131,1
11.292349,0.58880484,1
9.005809,-5.4608727,1
16.833464,1.0162772,1
7.3139596,0.58143234,1
14.708368,8.459538,1
7.8484664,5.644496,1
13.77909,5.1869254,1
17.24571,1.4311547,1
10.592468,5.2453895,1
8.959499,-5.6216197,1
17.556646,4.118359,1
7.7722335,3.8512325,1
9.340775,7.4463425,1
10.879003,9.380655,1
13.490915,3.4302084,1
8.218227,-1.2199612,1
10.33243,0.82106876,1
16.686546,3.3920894,1
14.514814,3.629817,1
14.61577,8.221852,1
8.634398,2.5576744,1
17.314642,4.230528,1
10.912077,9.289673,1
8.050223,5.833784,1
16.86044,0.66613704,1
12.152474,0.85639954,1
8.07242,2.8279133,1
15.363512,3.610251,1
15.391782,2.5126772,1
10.594664,8.685543,1
9.397401,7.460999,1
