Dim0,Dim1,Dim2,Dim3,label
-0.67695016,-0.62223035,0.23136571,-0.5363857,0
-0.6769518,-0.62223125,0.23136473,-0.5363876,0
-0.67695487,-0.6222332,0.23136334,-0.53639096,0
-0.6769558,-0.62223434,0.23136322,-0.53639376,0
-0.6769558,-0.6222339,0.23136309,-0.53639287,0
-0.6769561,-0.6222342,0.23136319,-0.53639364,0
-0.67695636,-0.6222346,0.23136288,-0.53639436,0
-0.67695606,-0.6222342,0.23136297,-0.536394,0
-0.6769558,-0.62223434,0.2313631,-0.53639376,0
-0.6769558,-0.6222342,0.23136318,-0.53639376,0
-0.67695576,-0.62223446,0.23136322,-0.53639376,0
-0.67695594,-0.6222345,0.23136318,-0.536394,0
-0.6769512,-0.6222301,0.23136467,-0.53638494,0
-0.6769526,-0.62223196,0.2313644,-0.53638893,0
-0.67695135,-0.6222302,0.23136473,-0.53638524,0
-0.6769516,-0.6222307,0.23136446,-0.53638625,0
-0.6769506,-0.62223005,0.23136483,-0.5363847,0
-0.67695063,-0.62223005,0.23136503,-0.5363848,0
-0.6769507,-0.62222993,0.23136522,-0.53638494,0
-0.67694837,-0.6222284,0.23136587,-0.5363812,0
-0.67694914,-0.62222886,0.2313656,-0.5363825,0
-0.6769539,-0.62223285,0.2313641,-0.5363906,0
-0.6769511,-0.6222302,0.23136477,-0.5363846,0
-0.6769509,-0.6222309,0.23136532,-0.5363864,0
-0.6769514,-0.62223047,0.23136462,-0.53638536,0
-0.6769516,-0.62223095,0.23136452,-0.5363863,0
-0.67695063,-0.62223005,0.23136505,-0.53638476,0
-0.6769509,-0.6222301,0.23136505,-0.53638494,0
-0.6769517,-0.6222313,0.23136483,-0.53638756,0
-0.6769495,-0.622229,0.23136546,-0.5363827,0
-0.67695075,-0.62223047,0.2313651,-0.53638554,0
-0.67695194,-0.62223136,0.23136428,-0.53638726,0
-0.67724884,-0.622695,0.23106869,-0.537116,0
-0.67724967,-0.62269545,0.2310683,-0.5371167,0
-0.67724967,-0.62269545,0.23106824,-0.53711677,0
-0.67724943,-0.6226955,0.23106857,-0.53711694,0
-0.67724985,-0.6226953,0.23106837,-0.53711694,0
-0.67725015,-0.62269557,0.23106813,-0.5371174,0
-0.6772491,-0.6226953,0.23106848,-0.53711617,0
-0.677249,-0.6226952,0.23106852,-0.5371162,0
-0.67724806,-0.6226947,0.23106885,-0.5371151,0
-0.67724895,-0.6226953,0.23106872,-0.53711647,0
-0.67724884,-0.6226948,0.23106872,-0.5371159,0
-0.67724955,-0.62269545,0.2310684,-0.53711677,0
-0.67724663,-0.6226941,0.2310692,-0.5371133,0
-0.67724967,-0.6226953,0.23106846,-0.5371168,0
-0.6772467,-0.62269384,0.23106901,-0.5371133,0
-0.6772474,-0.6226942,0.23106892,-0.5371137,0
-0.6772461,-0.6226937,0.23106927,-0.5371128,0
-0.67724615,-0.6226937,0.23106927,-0.53711253,0
-0.67724514,-0.622693,0.2310698,-0.5371115,0
-0.67724466,-0.6226931,0.23106991,-0.5371109,0
-0.6772448,-0.622693,0.23106991,-0.5371109,0
-0.67724884,-0.6226951,0.23106872,-0.537116,0
-0.67724764,-0.62269425,0.231069,-0.5371141,0
-0.67724955,-0.6226952,0.2310684,-0.53711677,0
-0.67724764,-0.62269473,0.23106886,-0.53711456,0
-0.6772489,-0.622695,0.2310685,-0.53711563,0
-0.6772477,-0.6226945,0.23106891,-0.53711486,0
-0.6772467,-0.62269396,0.23106936,-0.5371133,0
-0.6772456,-0.62269336,0.23106971,-0.53711194,0
-0.677248,-0.62269443,0.23106894,-0.5371149,0
-0.67724943,-0.6226955,0.23106834,-0.5371169,0
-0.6772478,-0.6226947,0.23106895,-0.53711444,0
-0.67700535,-0.6233869,0.23170133,-0.5348349,0
-0.67700505,-0.6233865,0.23170145,-0.5348345,0
-0.677005,-0.6233865,0.23170148,-0.5348346,0
-0.6770035,-0.6233804,0.2317006,-0.5348258,0
-0.677006,-0.6233947,0.23170315,-0.5348447,0
-0.6770043,-0.6233866,0.23170185,-0.53483343,0
-0.6770103,-0.6234167,0.23170686,-0.53487384,0
-0.6770077,-0.62340415,0.231705,-0.5348545,0
-0.6769986,-0.6233978,0.23170629,-0.5348386,0
-0.6770064,-0.62339324,0.23170225,-0.5348449,0
-0.67700475,-0.6233951,0.23170346,-0.53484285,0
-0.6770021,-0.62337816,0.23170008,-0.5348245,0
-0.67700374,-0.6233936,0.23170318,-0.53484297,0
-0.67700064,-0.62338996,0.2317038,-0.5348328,0
-0.67700195,-0.62339276,0.2317034,-0.53483987,0
-0.67699856,-0.62338996,0.23170443,-0.53482956,0
-0.6770024,-0.6234122,0.2317085,-0.5348581,0
-0.6770047,-0.62340546,0.23170644,-0.53485286,0
-0.6770102,-0.623419,0.23170751,-0.53487706,0
-0.67700785,-0.6234215,0.23170929,-0.5348741,0
-0.6770081,-0.62342066,0.23170877,-0.5348757,0
-0.6770081,-0.62342006,0.23170856,-0.5348758,0
-0.677008,-0.62342006,0.23170844,-0.53487575,0
-0.67700636,-0.62341315,0.23170763,-0.53486574,0
-0.6770089,-0.62342036,0.2317084,-0.53487664,0
-0.6770086,-0.6234198,0.2317082,-0.534876,0
-0.6770103,-0.6234167,0.23170687,-0.53487384,0
-0.67700505,-0.62338966,0.23170255,-0.5348354,0
-0.6770103,-0.62341666,0.23170668,-0.53487384,0
-0.6770043,-0.6233867,0.23170187,-0.5348337,0
-0.67699814,-0.6233508,0.23169525,-0.5347853,0
-0.67701197,-0.6234176,0.23170637,-0.5348784,0
-0.677464,-0.6188192,0.23012692,-0.5310785,0
-0.6774666,-0.6188235,0.23012757,-0.53108585,0
-0.6774645,-0.6188209,0.23012733,-0.53108156,0
-0.67746437,-0.61882085,0.23012745,-0.5310818,0
-0.67746204,-0.61881775,0.23012681,-0.5310759,0
-0.67745966,-0.6188142,0.23012623,-0.53107035,0
-0.6774765,-0.618843,0.23013149,-0.531118,0
-0.67748034,-0.61884916,0.23013271,-0.5311282,0
-0.6774592,-0.61882097,0.23012783,-0.5310815,0
-0.6774754,-0.6188428,0.23013154,-0.531118,0
-0.6774667,-0.6188338,0.23012994,-0.5311029,0
-0.6774673,-0.6188287,0.23012896,-0.5310946,0
-0.67746764,-0.6188374,0.23013103,-0.5311087,0
-0.6774658,-0.61883354,0.23013014,-0.5311023,0
-0.6774684,-0.61883783,0.23013113,-0.53110987,0
-0.67747223,-0.6188402,0.23013124,-0.53111374,0
-0.6774746,-0.6188429,0.2301317,-0.53111815,0
-0.6774748,-0.61884326,0.2301318,-0.5311187,0
-0.6774675,-0.6188261,0.23012808,-0.5310904,0
-0.67747563,-0.61884385,0.23013176,-0.5311196,0
-0.67746985,-0.6188306,0.23012915,-0.53109795,0
-0.67747074,-0.61883247,0.23012954,-0.53110117,0
-0.67746866,-0.61883,0.23012908,-0.5310968,0
-0.6774703,-0.6188329,0.2301296,-0.53110164,0
-0.67746806,-0.6188294,0.23012912,-0.53109556,0
-0.67746705,-0.61882913,0.23012918,-0.5310951,0
-0.6774677,-0.6188382,0.23013106,-0.53111005,0
-0.6774719,-0.6188418,0.23013172,-0.5311164,0
-0.67746615,-0.61882645,0.23012845,-0.53109086,0
-0.67747027,-0.61883307,0.2301297,-0.5311018,0
-0.67747,-0.6188401,0.23013145,-0.5311133,0
-0.6774701,-0.6188411,0.23013186,-0.53111506,0
-0.6759096,-0.61746436,0.23170166,-0.53067243,0
-0.67591023,-0.6174602,0.23170169,-0.530669,0
-0.67591023,-0.617462,0.23170143,-0.53067076,0
-0.67591035,-0.6174641,0.23170157,-0.5306729,0
-0.67591065,-0.61746365,0.23170118,-0.5306725,0
-0.67591506,-0.6174572,0.23169836,-0.530665,0
-0.67591494,-0.6174634,0.2316995,-0.53067404,0
-0.67591524,-0.6174594,0.23169853,-0.53066814,0
-0.675915,-0.6174629,0.23169819,-0.53067046,0
-0.6759155,-0.6174677,0.2316987,-0.53067744,0
-0.67591554,-0.61746716,0.23169872,-0.53067696,0
-0.67591465,-0.6174616,0.23169893,-0.53067076,0
-0.67591524,-0.61746466,0.23169929,-0.5306752,0
-0.6759097,-0.61747724,0.23171218,-0.53071284,0
-0.6759151,-0.61746407,0.23169908,-0.5306746,0
